돌발일시,관리기관,도로타입,도로번호,도로명,방향,돌발구분,돌발상세구분,돌발내용
2024-10-06 16:09,한국도로공사,고속국도,25,호남선,논산 방향,교통사고,사고,(갓길)승용차단독사고처리중
2024-10-06 16:28,한국도로공사,고속국도,55,중앙선,춘천 방향,교통사고,사고,(갓길)승용차관련사고처리중
2024-10-06 11:12,한국도로공사,고속국도,600,부산외곽선,창원 방향,교통사고,사고,(갓길)화물차단독사고처리중
2024-10-06 11:54,한국도로공사,고속국도,50,영동선,강릉 방향,교통사고,사고,"(1,2차로)승용차관련사고처리중"
2024-10-06 13:18,한국도로공사,고속국도,45,중부내륙선,창원 방향,교통사고,사고,(2차로)대형화물차관련사고처리중
2024-10-06 18:08,한국도로공사,고속국도,35,통영대전선,대전 방향,교통사고,사고,(갓길)승용차관련사고처리중
2024-10-06 20:32,한국도로공사,고속국도,1,경부선,서울 방향,교통사고,사고,(갓길)사고처리완료
2024-10-06 15:12,한국도로공사,고속국도,60,서울양양선,양양 방향,교통사고,사고,(1차로)승용차사고처리중
2024-10-06 18:04,한국도로공사,고속국도,1,경부선,부산 방향,교통사고,사고,(갓길)승용차단독사고처리중
2024-10-06 12:50,한국도로공사,고속국도,120,경인선,인천 방향,교통사고,사고,(3차로)추돌사고처리중
2024-10-06 12:50,한국도로공사,고속국도,120,경인선,인천 방향,교통사고,사고,(3차로)추돌사고처리완료
2024-10-06 19:21,한국도로공사,고속국도,35,중부선,남이 방향,교통사고,사고,(1차로)승용차관련사고처리중
2024-10-06 14:51,한국도로공사,고속국도,12,광주대구선,광주 방향,교통사고,사고,(1차로)승용차관련사고처리중
2024-10-06 11:47,한국도로공사,고속국도,451,중부내륙지선,창원 방향,교통사고,사고,(2차로)승용차사고처리중
2024-10-06 16:06,한국도로공사,고속국도,551,중앙선지선,양산 방향,교통사고,사고,(4차로)1톤화물차관련사고처리중
2024-10-06 16:17,한국도로공사,고속국도,50,영동선,강릉 방향,교통사고,사고,(1차로)승용차관련사고처리중
2024-10-06 19:21,한국도로공사,고속국도,60,서울양양선,양양 방향,교통사고,사고,(1차로)승용차관련사고처리중
2024-10-06 15:49,한국도로공사,고속국도,10,남해선(순천-부산),순천 방향,교통사고,사고,(갓길)승용차관련사고처리중
2024-10-06 16:40,한국도로공사,고속국도,30,당진대전선,당진 방향,교통사고,사고,(1차로)승용차사고처리중
2024-10-06 10:30,한국도로공사,고속국도,1,경부선,서울 방향,교통사고,사고,(진출로갓길)승용차단독사고처리중
2024-10-06 10:58,한국도로공사,고속국도,45,중부내륙선,창원 방향,교통사고,사고,(1차로)승용차관련사고처리완료
2024-10-06 20:32,한국도로공사,고속국도,1,경부선,서울 방향,교통사고,사고,(갓길)사고처리중
2024-10-06 16:13,한국도로공사,고속국도,55,중앙선,부산 방향,교통사고,사고,(2차로)승용차사고처리중
2024-10-06 15:54,한국도로공사,고속국도,12,광주대구선,광주 방향,교통사고,사고,(1차로)승용차관련사고처리중
2024-10-06 12:46,한국도로공사,고속국도,40,평택제천선,제천 방향,교통사고,사고,(1차로)승용차관련사고처리중
2024-10-06 21:49,한국도로공사,고속국도,100,수도권제1순환선,판교-일산 방향,교통사고,사고,(5차로)승용차관련사고처리중
2024-10-06 11:46,한국도로공사,고속국도,45,중부내륙선,창원 방향,교통사고,사고,(2차로)승용차관련사고처리중
2024-10-06 16:25,한국도로공사,고속국도,35,통영대전선,대전 방향,교통사고,사고,(1차로)승용차단독사고처리중
2024-10-06 16:28,한국도로공사,고속국도,55,중앙선,춘천 방향,교통사고,사고,(1차로)승용차관련사고처리중
2024-10-06 10:58,한국도로공사,고속국도,45,중부내륙선,창원 방향,교통사고,사고,(1차로)승용차관련사고처리중
2024-10-06 20:32,한국도로공사,고속국도,1,경부선,서울 방향,교통사고,사고,(5차로)사고처리중
2024-10-06 20:53,한국도로공사,고속국도,120,경인선,인천 방향,교통사고,사고,(갓길)광장부
2024-10-06 15:54,한국도로공사,고속국도,12,광주대구선,광주 방향,교통사고,사고,(1차로)승용차관련사고처리완료
2024-10-06 18:39,한국도로공사,고속국도,1,경부선,부산 방향,교통사고,사고,(2차로)승용차단독사고처리중
2024-10-06 6:17,한국도로공사,고속국도,1,경부선,부산 방향,교통사고,사고,"(1,4차로)승용차추돌사고처리중"
2024-10-06 13:53,한국도로공사,고속국도,10,남해선(순천-부산),부산 방향,교통사고,사고,"(4차로,갓길)승용차관련사고처리완료"
2024-10-06 19:48,한국도로공사,고속국도,65,동해선(부산-포항),부산 방향,교통사고,사고,(진출로갓길)승용차단독사고처리중
2024-10-06 15:11,한국도로공사,고속국도,1,경부선,서울 방향,교통사고,사고,(갓길)승용차관련사고처리중
2024-10-06 16:28,한국도로공사,고속국도,55,중앙선,춘천 방향,교통사고,사고,(갓길)승용차관련사고처리완료
2024-10-06 14:13,한국도로공사,고속국도,60,서울양양선,양양 방향,교통사고,사고,(2차로)승용차관련사고처리중
2024-10-06 14:39,한국도로공사,고속국도,50,영동선,강릉 방향,교통사고,사고,(1차로)승용차사고처리중
2024-10-06 20:05,한국도로공사,고속국도,1,경부선,서울 방향,교통사고,사고,(갓길)승용차단독사고처리중
